ts_usc,session,strat,coin,market_duration_min,event_type,size,entry_price,exit_price,size_shares,hold_seconds
2026-02-16T17:26:20.696035+00:00,20260216T172541Z-51040,MultiSignalStrategy,BTC,5,entry,3.4335,0.63,,5.45,0.0
2026-02-16T17:26:56.706316+00:00,20260216T172541Z-51040,MultiSignalStrategy,BTC,5,partial_exit,1.0269,0.63,0.72,1.63,36.01
2026-02-16T17:28:07.738604+00:00,20260216T172541Z-51040,MultiSignalStrategy,BTC,5,partial_exit,1.0269,0.63,0.865,1.63,107.043
2026-02-16T17:37:00.378732+00:00,20260216T173503Z-47092,MultiSignalStrategy,BTC,5,entry,3.4748,0.68,,5.11,0.0
2026-02-16T17:38:38.945521+00:00,20260216T173503Z-47092,MultiSignalStrategy,BTC,5,partial_exit,1.3872,0.68,0.73,2.04,98.567
2026-02-16T17:39:06.716507+00:00,20260216T173503Z-47092,MultiSignalStrategy,BTC,5,exit,2.0468,0.68,0.56,3.01,126.338
2026-02-16T17:40:21.405145+00:00,20260216T173503Z-47092,MultiSignalStrategy,BTC,5,entry,3.1682,0.62,,5.11,0.0
2026-02-16T17:42:13.608691+00:00,20260216T174126Z-17716,MultiSignalStrategy,BTC,5,entry,2.9241,0.57,,5.13,0.0
2026-02-16T18:16:01.351158+00:00,20260216T181524Z-24940,MultiSignalStrategy,BTC,5,entry,3.3215,0.65,,5.11,0.0
2026-02-16T18:16:33.636433+00:00,20260216T181524Z-24940,MultiSignalStrategy,BTC,5,exit,3.2825,0.65,0.49,5.05,32.29
2026-02-16T18:17:55.596530+00:00,20260216T181720Z-48808,MultiSignalStrategy,BTC,5,entry,3.0267,0.59,,5.13,0.0
2026-02-16T18:18:10.780105+00:00,20260216T181720Z-48808,MultiSignalStrategy,BTC,5,partial_exit,0.9027,0.59,0.71,1.53,15.184
2026-02-16T18:18:45.383703+00:00,20260216T181720Z-48808,MultiSignalStrategy,BTC,5,partial_exit,0.9027,0.59,0.85,1.53,49.787
2026-02-16T18:18:55.123246+00:00,20260216T181720Z-48808,MultiSignalStrategy,BTC,5,exit,1.18,0.59,0.36,1.99,59.527
2026-02-16T18:26:22.650673+00:00,20260216T182515Z-57852,MultiSignalStrategy,BTC,5,entry,3.5778,0.67,,5.34,0.0
2026-02-16T18:26:37.850338+00:00,20260216T182515Z-57852,MultiSignalStrategy,BTC,5,partial_exit,1.2462,0.67,0.8,1.86,15.2
2026-02-16T19:52:35.946513+00:00,20260216T195059Z-11136,MultiSignalStrategy,BTC,5,entry,3.1726,0.58,,5.47,0.0
2026-02-16T19:53:01.557374+00:00,20260216T195059Z-11136,MultiSignalStrategy,BTC,5,partial_exit,0.9512,0.58,0.68,1.64,25.611
2026-02-16T19:53:22.252221+00:00,20260216T195059Z-11136,MultiSignalStrategy,BTC,5,exit,2.175,0.58,0.56,3.75,46.306
2026-02-16T20:02:19.769225+00:00,20260216T200142Z-57796,MultiSignalStrategy,BTC,5,entry,2.8782,0.54,,5.33,0.0
2026-02-16T20:02:53.374528+00:00,20260216T200142Z-57796,MultiSignalStrategy,BTC,5,partial_exit,0.8586,0.54,0.66,1.59,33.607
2026-02-16T20:02:59.686509+00:00,20260216T200142Z-57796,MultiSignalStrategy,BTC,5,exit,1.9764,0.54,0.46,3.66,39.919
2026-02-16T20:05:42.380417+00:00,20260216T200142Z-57796,MultiSignalStrategy,BTC,5,entry,3.5259,0.69,,5.11,0.0
2026-02-16T20:05:57.549216+00:00,20260216T200142Z-57796,MultiSignalStrategy,BTC,5,partial_exit,1.2282,0.69,0.8,1.78,15.169
2026-02-16T20:06:46.772138+00:00,20260216T200142Z-57796,MultiSignalStrategy,BTC,5,partial_exit,1.2282,0.69,0.86,1.78,64.392
2026-02-16T20:08:21.011753+00:00,20260216T200142Z-57796,MultiSignalStrategy,BTC,5,exit,1.0281,0.69,0.61,1.48,158.631
2026-02-16T20:14:09.019961+00:00,20260216T201042Z-25904,MultiSignalStrategy,BTC,5,entry,3.2208,0.61,,5.28,0.0
